               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.034954,            0.012307,           0.0022422,             0.99193,                   1,             0.99495,             0.63366,            0.025142,           0.0050177,           0.0006825,             0.00802,             0.00802,             0.00802
                  62,            0.033814,            0.011252,           0.0013231,             0.99206,               0.995,             0.99053,             0.57318,            0.025376,           0.0050294,          0.00069208,            0.007987,            0.007987,            0.007987
                  63,             0.03435,            0.011197,           0.0011444,             0.99356,             0.99995,             0.99497,             0.64699,            0.022985,           0.0048932,           0.0007473,            0.007954,            0.007954,            0.007954
                  64,            0.032191,           0.0095011,            0.001342,              0.9949,             0.99127,             0.99481,             0.58088,            0.026547,           0.0050743,          0.00069499,            0.007921,            0.007921,            0.007921
                  65,              0.0339,           0.0098024,           0.0014283,             0.99657,                   1,               0.995,              0.6414,            0.023345,           0.0048692,          0.00067644,            0.007888,            0.007888,            0.007888
                  66,            0.033439,           0.0099955,           0.0011047,             0.98606,               0.995,             0.99167,             0.60382,            0.025967,           0.0050454,          0.00071721,            0.007855,            0.007855,            0.007855
                  67,            0.033199,            0.010145,           0.0017762,             0.99068,             0.98963,             0.99467,             0.63741,            0.022478,           0.0050677,          0.00078163,            0.007822,            0.007822,            0.007822
                  68,            0.030982,            0.011434,            0.002231,             0.98466,             0.98597,             0.99108,             0.59021,            0.025195,           0.0047906,           0.0019213,            0.007789,            0.007789,            0.007789
                  69,            0.032248,            0.010243,           0.0019371,             0.98779,             0.99164,             0.99276,              0.5924,            0.024433,           0.0048053,            0.001572,            0.007756,            0.007756,            0.007756
                  70,            0.031548,            0.010518,           0.0014445,             0.99246,             0.99546,             0.99307,             0.62207,            0.024106,           0.0046803,           0.0013536,            0.007723,            0.007723,            0.007723
                  71,            0.032451,            0.011114,           0.0014875,             0.99735,             0.99902,               0.995,             0.63034,            0.023021,           0.0046759,           0.0007349,             0.00769,             0.00769,             0.00769
                  72,            0.030955,           0.0099092,              0.0019,             0.99852,                   1,               0.995,             0.65003,            0.022796,            0.004578,          0.00061406,            0.007657,            0.007657,            0.007657
